lon,lat,zip
-77.704,40.808,16828
-77.957,40.868,16865
-77.731,40.591,17004
-77.564,40.297,17006
-77.607,40.63,17009
-76.896,40.362,17018
-77.061,40.458,17020
-76.768,40.585,17023
-77.626,40.551,17029
-76.738,40.608,17030
-76.844,40.507,17032
-76.636,40.27,17033
-77.304,40.343,17040
-76.919,40.244,17043
-77.724,40.496,17054
-77.154,40.556,17062
-77.882,40.382,17066
-77.134,40.406,17068
-77.346,40.479,17086
-76.272,40.363,17087
-77.183,40.343,17090
-76.926,40.294,17093
-77.735,40.178,17220
-77.832,40.073,17221
-77.858,39.859,17231
-78.122,39.944,17238
-77.422,40.173,17241
-77.581,39.799,17247
-77.671,40.113,17251
-77.585,39.97,17254
-78.122,39.944,17267
-77.807,40.108,17271
-77.227,39.977,17304
-77.287,39.933,17307
-76.467,39.861,17309
-76.507,39.947,17312
-77.362,39.781,17320
-76.577,39.845,17322
-77.028,40.075,17323
-76.889,39.995,17339
-76.836,39.954,17345
-76.688,39.973,17358
-76.701,39.823,17360
-76.688,39.8,17361
-76.905,39.934,17364
-76.72,40.068,17370
-77.1,40.008,17372
-76.462,40.088,17502
-76.043,40.005,17535
-76.578,40.072,17550
-76.426,40.039,17554
-76.237,39.912,17560
-76.091,39.898,17562
-76.15,40.015,17572
-76.213,40.117,17580
-76.26,39.959,17584
-76.823,41.103,17772
-76.395,41.219,17814
-76.665,40.89,17823
-77.189,40.883,17829
-76.525,41.144,17846
-77.014,40.724,17853
-76.985,40.883,17855
-76.904,41.048,17856
-76.822,40.846,17876
-76.673,40.782,17881
-76.165,40.675,17929
-76.37,40.775,17945
-76.2,40.711,17954
-75.96,40.703,17960
-76.207,40.618,17961
-76.489,40.724,17964
-76.199,40.771,17965
-76.284,40.707,17970
-76.54,40.59,17980
-75.663,40.6,18051
-75.701,40.719,18053
-75.173,40.782,18063
-75.621,40.67,18078
-75.512,40.467,18092
-76.036,40.809,18214
-76.013,40.859,18218
-75.915,40.872,18232
-75.998,40.898,18237
-76.23,40.723,18245
-75.938,40.798,18252
-76.038,39.757,19362
-75.709,40.448,19503
-75.742,40.459,19505
-75.865,40.574,19534
-75.892,40.368,19543
-75.898,40.343,19547
-75.889,40.326,19551
-76.141,40.505,19554
-75.887,40.411,19555
-75.952,40.337,19565
-78.781,35.053,28301
-81.406,28.49,32839
